id,name,details,gender,category
Men:T-SHIRTS:409,CONTRAST PRINTED T-SHIRT,Loose-fitting T-shirt made of a cotton fabric. Round neck and short sleeves. Contrast prints on the front and back.Zara Athleticz.,Men,T-SHIRTS
Men:T-SHIRTS:411,TANK TOP WITH SLOGAN,Loose-fitting tank top made of cotton. Round neck. Contrast slogan print on the front.Zara Athleticz.,Men,T-SHIRTS
Men:T-SHIRTS:412,T-SHIRT WITH A PASSO STELVIO PRINT,T-shirt made of stretchy cotton fabric. Round neck and short sleeves. Contrast graphic prints on the front and back.Zara Athleticz.,Men,T-SHIRTS
Men:T-SHIRTS:413,RIBBED TANK TOP,Sleeveless top with a wide round neck.Zara Athleticz.,Men,T-SHIRTS
Men:T-SHIRTS:417,TANK TOP - LIMITED EDITION,Sleeveless T-shirt in open textured fabric with a wide round neck.,Men,T-SHIRTS
Men:T-SHIRTS:421,OVERSIZE T-SHIRT WITH TOPSTITCHING,Oversize T-shirt with a round neck and sleeves falling below the elbow. Trims with contrast topstitching detail.,Men,T-SHIRTS
Men:T-SHIRTS:422,LYOCELL - COTTON T-SHIRT,T-shirt made of a lyocell and cotton blend. Featuring a round neck and short sleeves.,Men,T-SHIRTS
Men:T-SHIRTS:424,BOXY FIT T-SHIRT,"Boxy fit T-shirt with a round neck, short sleeves and side vents at the hem.",Men,T-SHIRTS
Men:T-SHIRTS:426,TERRY TANK TOP,Loose-fitting round neck tank top made of a cotton blend fabric.,Men,T-SHIRTS
Men:T-SHIRTS:427,TERRY SWEATSHIRT,Loose-fitting sweatshirt made of a cotton blend fabric. Round neckline and short sleeves.,Men,T-SHIRTS
